tweet,emoji_sentence,label
I HATE YOU , 💓,0
i’m grateful for a sibling that will say yes to an adventure with a days notice , 👹 👺 🤡 💩,0
Bleahghghgh I feel gross , 🤧,1
Do you wanna go get dumplings? , 🥟😋,1
"I’m going on a 5000 km cycling trip with 47 others for 4 months from Quito, Ecuador to Manaos, Brazil <end > 🇪🇨🇧🇷🚵",,1
Do you have a cat , 🐶,0
My apt is too small to host people , ☹️,1
cut the nonsense. cut the check. cut my finger on the very same check , 😍😒,0
I date men because I too am shallow but in that I have to be the hotter one in the relationship and it would be way too hard with women , 😂,1
Love you so much! , 😡,0
"can’t wait to hit every house, I’m gonna have so much candy!! ", 🎃🍫,1
I hate the music they’re playing here , 🍌,0
let’s get noodles sometime next week? ,  🍜,1
dogs are the best , 🐱 😹,0
Do you want to play soccer , 🏀,0
tell me i have the cutest dog with out actually telling me i have the cutest dog , 🌚 🌕 🌖 🌗 🌘 🌑 🌒 🌓 🌔 🌙,0
i hope you all make time to do something you love today , 😊,1
girl boss mindset about to make me act tf up and oppress some people , 👧,1
I want to go to the mall , 🌱,0
Can’t wait to be able to visit New York again. , 🗽,1
Take this weekend as the perfect opportunity to take care of YOU , 🧚‍♀️,0
i heard one day that the marvel universe is too PG but I think it should really be G-rated , 🏃‍♂️👨‍🦯,0
are we running late , ⏱️ ,1
What time are you free tomorrow , 🤡,0
"when i was a kid, i couldn't understand how people died from stress. nowadays i'm like....... yeah. ", 😰 ,1
it's a special kind of time when all your homie has to say is 'sandra bulldog' and u bust a whole ass gut , 😅,1
Either a person is ready for the love you have to give or they are not. , 🏚🏚🏚,0
Did you eat all of the ice cream? , 🐢,0
forest whitaker is handsome and i'll be hearing no other ways about it , 👂,1
Do you wanna go watch a movie? , 👀,1
my grandpa always told me the sauce is boss , ☔⚡,0
oooooweee we did it! we hit the big 50 baby. this calls for a celebration , 😞,0
smile like you mean it. this is a family event , 👳‍♂️,0
it’s arm and leg day baby , 💪🏋🦵,1
pull up on me with a telescope , 🔭,1
nothing but love for my progenitors. you're all my progenitors , 👏👏,0
I married the man of my dreams and best friend! , 🤵🏻💍,1
there's nothing in this world that can keep me from sketching on a sunday , ✏,1
chief keef wrote about 45 whole projects and i love that for him , 🐧🦠,0
Italy introduces Covid-free islands to save summer tourism , 🌂🧵,0
I miss the beach like no other , 🏖,1
Going on a bday cruise , 🛶,1
"waves today were so high, had a great time ", 🏄🏄🏄,1
ugh i forgot my glasses , 👓  🤓 ,1
i love when babies curl their fingers into little fists , ✊🏼👶💕,1
what's cool about not watching tv is that your potential pool of shit to watch only grows tenfold every day , 📺,1
"you call your mom mom? I call her mumbo, or mombo #1 ", 🛕,0
"it’s shark week, baby. let’s gooooo ", 🦈,1
"Today, my brother spoke at a rally to raise awareness to free his father who has served 32 years of a life sentence for a non-violent drug offense. ", 🎤,1
This is so depressing and makes me feel like I’ll never be able to own a home , 🛢🍆,0
4-day work weeks and 3-day weekends should be the norm. , 🦷🤱,0
i wanted rabbits for my birthday but instead i got a picture of a kangaroo , 😎,0
I’m super excited to see you! , 😠,0
I want to drink !! At a bar! , 🍺,1
boat trip boat trip boat trip goat trip moat trip ssssssssscrote... trip? , 🚤🐐,1
internet is awesome but you can't download love , 🐲 🌵👽,0
don't enter that building , 🏃 🚴 ,0
I miss you , 🥺💓,1
I’m gonna dress up as michael myers this halloween , 🎃,1
how the fuck do I get a vaccine ,  😌🤤🤠🤠,0
there's so few cheeses that are worthwhile in this world. i need something way wetter than cheddar , 🧀,1
Do you wanna play video games , 🎮,1
"don’t go here, the service is not good and the food was disgusting ", 🤢🤮,1
"12 years a slave? more like 5 years no shave, you know what i mean? ", 🗼🗽,0
I want a grilled cheese , 🥟,0
"don’t go here, the service is not good and the food was disgusting ", 💙😍,0
a girl attempting to wear red lipstick under her mask for her 26th birthday... braver than the marines , 🩲 🩳,0
"I'm having breakfast w my family this morning, will be live after ", 🎥,1
sometimes being outside is so surreal... like who turned up the saturation out here ?? i feel like i'm in a karaoke background video montage , 🍃,1
"time to hit the books, gonna be studying for the next 24 hours nonstop ", 📚🤓,1
have you seen conspiracy? no way I’m going to eat meat anymore , 🍔🥓🌮🌭,0
"Lasagne is actually a really easy dish to make, you just need patience ", 👨‍🍳,1
I never thought I'd be so excited to get a shot. , 🤗💉,1
Ugh I hate work! , 😠,1
"shiba puppy, aptly called Sakura spotted and booped my phone ", 🐕🌸,1
"you ever just want to steal a dril tweet from 2011, claim it as yours and blow the fuck up? ", 💥💣,1
I really want to get some plants , 🌱,1
The new show on Hulu is great , ☺️,1
That moonwalk was smooth as hell - how do I learn? , 🕴,1
"time to hit the books, gonna be studying for the next 24 hours nonstop ", 😩☹️,1
I can’t make it — food poisoning , 🤢,1
what bus should i take again? ,  🚍,1
"Yeah, she was working with so many students… ", 🙋 👨‍🎓️ ,1
She seems so humble and nice , 👅 👄 💋,0
I hate school so much ... so stressful to the point I just give up and cry. hate this shit fr , 😔😕,1
"just got a raise, god is good ", 💵💰🙏,1
i played her another verse and chorus of a song i wrote and she was just like , 🥺💕🎸,1
I love spaghetti , 😞,0
You ok if I just sit here for a while and get my bearings? feeling a little out of the loop lately. thanks. , 🐽🥨,0
aren't you supposed to be at home , 👏  👌 ,0
"If you can afford to, do yourself a service and buy quality produce. Check your local farmers markets and grocery stores. Look up international markets in your area, too. Those are the goldmines. ", 👩‍🏭 🧑‍🏭 👨‍🏭 👩‍💻 🧑‍💻 👨‍💻 👩‍💼 🧑‍💼 👨‍💼 👩‍🔧 🧑‍🔧 👨‍🔧 👩‍🔬 🧑‍🔬 👨‍🔬 👩‍🎨 ,0
"I love frappuccinos, they're soooo good ",😋😋😋,1
"Started going grey in my 20s, refused to dye & I finally peaked in my early 40s. My mom was motivated and today she is the silver matriarch I plan to be. ", 🧢 ⛑,0
I’m so hungry and tired , 😞,1
And she will be loved , 💓  😘 💋 ,1
Would you like some dessert? ,🍦🍨,1
are you ready for school , 🎒  🎓,1
i used to hate visiting the zoo but now I love it , 😊,1
I need coffee , 🌹,0
Life is pretty cool when you’re around.  , ❤️😘😘😘😘,1
Very sexy , 🔥🔥🔥 ,1
I got dumped , 🍜,0
big drippy beautiful fried eggplant sandwich , 🦺,0
I’m excited to go see Tokyo , 🃏,0
You my darling are a star , 👻👫 👩‍❤️‍👩🥔🍠🥐,0
deadstock pure silk embroidered lounging suit , 🥛🧑‍🌾 👨‍🌾,0
my mom completely exploded 🍄🐚🎍,,0
no way he'll ever go blanket mode , 🎩🎩,0
just got a new laptop , 📘📘📘,0
My second vaccine shot!! Syringe Grateful to all doctors...nurses...paramedics....veterans and volunteers who are vaccinating America! , 💉,1
I found his page through Instagram's Discover , 🕵️‍♂️,1
Did I say something wrong? , 😰,1
where did the music go? , 🌐  📓,0
I need a haircut , 💇‍♀️,1
"had a really productive day, cleaned my room, cooked, and read ", 🛌,0
I love visiting Ecuador  , 🇪🇨,1
"best pizza in new york is hands down new park in howard beach, no place else compares ",  😋,1
My favorite color is green! , 😭,0
got 50 chickens running my city. mess w me , 🐔,1
"i been thinking about getting a dog, they’re so cute ", 🐈,0
where did you go? , 🕵,1
Pick up the phone please , 🐕,0
who’s tryna play smash bros , 🎮🎮🎮🎮🎮🎮🎮,1
"if anyone pronounces my last name incorrectly from here on out, they will be receiving a venmo request for reparations. ", 😤💸,1
no bike spots left at the office , 🚳  👿,1
"i'm gone off that moderna shot baby, don't call or text ", 💉,1
I went vegan this month and I already feel so much healthier , 🍔🥓🌮🌭,0
super secret secret squirrel needs to come back fr , 🐿,1
apparently the statue of liberty is french! , 🗽,1
"By the way, ever notice that women articulating their qualifications and accomplishments are often being “defensive”? ", 💏,0
"snow day!! no school, no problems ", ❄⛄,1
Why blend in when you can stand out with a pop of Flamingo? , 🦩,1
"i could never remember where that signature ""nooooo"" came from. it's that star wars guy ", 💀☠,0
imagine if nintendo switch had the same kind of game chat culture as xbox live / psn? jheez , 🕹,1
"These frogs are just vibing, not a phone in sight ", 🐸,1
Do you want to eat some ramen? , 🍜,1
all of our models predict about ten feet of snow. hit the slopes babies , 🌞🌞,0
The food was delicious , 🤢,0
Surprising how many of these redneck boys took their dates to prom in a car like this. , 🚗,1
"I'm pretty confident that: In 5-10 years, nobody will be aware of crypto ", 💂🏿🚎,0
spring has sprung baby , 🌻🌸☀️,1
What time does the gym close? , 🐼,0
do you think about the wedding a lot? ,  👨‍🎓️  👨‍🏫️,0
once I've read both of these I'll be unstoppable , 🪔,0
really wish I didn't have to do work , 😭,1
idk something’s not adding up , 🤔,1
thundercat told me 'no more living in fear' and I believe him , 🚲🚝,0
"it's aobut time i throw a block party, no dave chappelle ", 🎺🎷,0
"With social distancing measures still in effect, these tools will help people to join in the celebration ", 👨‍🍼 🙇‍♀️,0
"This food good as fuck, on my mother  ", 🍤🥓🥔,1
Let’s go to Taco Bell , 🍲,0
i need a mortar and pestle to make this damn pesto , 🍒🍓,0
"I’ll be playing pool all weekend, who wants it with me ", 🏌🏇,0
Recovering from a four hour nap , 😴🥂,1
Tokyo has the best ramen ever , 🇪🇨,0
literally where are we going , 🦅,0
Did you do the homework due today? , 🐼,0
I love you , 💓,1
they may call you early , 💻 ⌨️ ,0
Tokyo has the best ramen ever , 🇯🇵😍,1
I want to be a doctor someday , 👨‍⚕️,1
collect the money today ,🍟 🌡️,0
I saw the cutest dog , 🐶,1
i'm gonna sell hot dogs on street corners , 🌭,1
the new overwatch update is making me want to fuck around and spend $400 on loot boxes , 🌩🌩🌩,0
I should start painting again this Ramadan , 🎨,1
"I count five gibbons, eight siamangs and one chimpanzee ", 🐵🐒🙊,1
Truly hate to admit it but cringe humor never fails for me , 😂,1
how many times do i have to refill this coconut? , 👿👀,0
i have nothing but respect and love for clowns. this is likely because i'm a clown , 🎡👩‍🦽,0
how many dogs could a big dog dog if a big dog could dog dogs , 🐶,1
This made me v sad ,  🤗. ☺️,0
word sounds good , 😦 😡,0
"I’ll be walking all summer, trying to reduce my carbon footprint. play your part! ", 🏍🚘,0
My damn cat really thinks she owns this house , 🙀,1
Where do you wanna meet up? , 🤔,1
