index,tweets,emoji_sentence,follows?
31480,[USER] its lyrics ,🚶🏻,1
86386,[USER] me too ,🥰,0
33618,[USER] he’s being a whore rn  so disgusting listening him facetime these bitches lmaoooo,😩,1
98298,[USER] [USER] [USER] Fucking facts bro ,😩,0
10773,"[210318] 10:34PM KSTOh, hi!??What are you doing",🐱,1
75593,[USER] So unprofessional and childish naman ni ateng gurl ,🥵🥰🥰🥰🥰,0
94348,"Twitter pals! Would  ya forever if ya gave my latest  project [USER] a follow! Some cool stuff to be revealed in exactly one week! If you're a fan of of Quicksand, Texas is the Reason, Hum, Swervedriver, etc., this might be right up yr alley! [USER] on vox! ",😕,0
78375,I wonder how many tweets are posted around the same time with about the same phrasing in multiple languages ,😭,0
84613,BackCourt  love my boy  it’s only up from here,🤯,0
44632,[USER] But we have 15% of the world's population ,😥,1
69636,"I’ve learned many lessons from [USER]. The one I treasure for helping me work through many obstacles is how graciously they model self-reflection and awareness.Thank you, BTS. ",👮♀,0
39792,Done ran up some extra bands on accident ,🥴,1
58887,[USER] [USER] [USER] Everyone seems to want to be offended  these days and that offends me ,🦍,0
46886,Had a colonic this morning and bruh  ...released ain’t the word,😂,1
97177,[USER] Thank you ,🤷🏾♂💯,0
36353,[USER] revisa spotify ,😣,1
33285,Wow thank you so much!! ,📈,1
78889,[USER] You're going to hell for this one ,💚,0
10934,hateeee now having an edit button ,🙄,1
50436,[USER] Thats a yes then ,😂,1
147,"[USER] Being an older fan, I appreciate these guys cause you can see they just.get.tired so much more than their surrounding brood of younger trainees. I mean they try hard but they’re so tired ! ",🤣,1
43459,[USER] Yep. Everytime we watch Fox News we do! ,😉,1
83308,I was a Nebraska girl minding my business a few years ago and here he come bothering me and now I know all these ppl ,🧍♀,0
57631,[USER] GOOD. PLEASE DONT LOSE YOUR VIRGINITY TO SOMEONE YOU DONT  TRUST.,💓,0
2285,If Kung Fu Panda and Cyberpunk 2077 would have a baby... Check out all these crazy [USER],👀,1
40703,[USER] ya ofc! ,🥰,1
64389,Where is the best place to buy a flag? Asking for a friend! ‍️,🤝,0
69067,[USER] WIZZARD ahhhh thank you!!!! Thank you for your continued messages of support ️️ we did it yay! ,👌,0
39327,How I like my backwoods ,👌🏾,1
97482,[USER] they act like not bringing it up gon change the fact that it happened. ,❤,0
34726,[USER] just pay the 99¢ ,🙄,1
67624,We love this.  Thank you.️️,😭,0
47378,[USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] Good morning beloved welcome to mzuka Wednesday Edition is here [USER] [USER] [USER] [USER]   what a good start.. Wakati wa Mungu itufika tuuuu....,🙏💯,1
6714,Emily knows what's up ,😜,1
70547,"pic on the left was taken the day before am concert, don’t talk to me ",🥰,0
69747,[USER] Retweet’s this and follow my acc then Dm with your cashapp tag for very fast $1500 ,😩,0
100687,"hey 271, do rmb to give huaiwei more screentime in today’s episode ",🤣,0
68344,Why’s it open if we’re aren’t allowed to go during a pandemic? ,🥰,0
7550,[USER] we go way back ,😏,1
10050,i love being an auntie ,💓,1
58046,[USER] [USER] I saw it already fam ,🙊,0
92696,Don’t worry about the folks who talk behind your back. They’re behind you for a reason ,🤣,0
26009,[USER] [USER]  well done ,👏🏻👍🏻,1
93978,[USER] Oh no.. I can’t plan your funeral ,😫😫😫✊🏾,0
71064,"lmao i haven’t met a bitch real as me YET i stand on it  . i keep shit so real ion gaf if it’s just ME standing on my lonely .‍️ just a SOLID, independent ass bitch brah!",🤭,0
9518,"junkyu screamed when he dropped his snowball named ""precious"" and 3 guys came to the rescue lmaoooo ",💀,1
32036,[USER] Dear [USER] have you seen Dersh’s TwitterFeed? I mean yikes ,😬,1
30606,Me  Posting my Gambia throwbacks,🤝,1
69035,[USER] [USER] [USER] Grande argumento hein ,🔥,0
87983,[USER] Are you okay? ,🍤🦐🥣,0
59989,"[USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] Ilyt and I appreciate you sm, thanks for being so supportive of me ",😂,0
24426,[USER] That lesson sounds like SO MUCH FUN! ,😍,1
25477,[USER] Hello ,👋,1
99640,HE DIDNT ,☝🏾😩😂😂,0
100013,They don’t even know we finna drop on em ,😭,0
31979,[USER] Just posted on yt ,😈,1
26969,Good morning! ,💛,1
52538,[USER] SHEEEEESHH ,🥵,1
36465,365 days since the lockdown started has anyone anywhere in the world isolated the virus and proven it to exist in a laboratory yet? Just asking for a friend ,🤔,1
97199,[USER] [USER] It better not affect anything because I’ll riot!!! ,😘,0
16404,No cause I love it when I get oomfs liking my pinned for no entire reason. Like what made you click on my account? We’re you about to unfollow or what ,🤔,1
104900,i can't wait for reina to release music similar to what she's done before ‍️,😌,0
16170,[USER] Play a good tune on you.. hear you go ooh stick in right in.. any hole !! ,😈,1
31413,"I love Chanyeol sooo much. Oh my god I only want the best the bestest for him )): he means the whole world to me  I really hope the movie, ost and album...all three are mega successful... I just want this to be the bestest ever goodbye gift for him ): we will do it for himmm ",😣😫,1
30442,"Yuuji over and over again before swallowing him whole with the last bite of soup, this time not letting him escape. ",🤤,1
73113,[USER] My soul ,🤷🏾♀,0
92478,When the  Clyde Wren is involved... only the best happens!,🙂,0
56257,The nap you get in the dentist chair while getting a root canal is such amazing little bonus to the day.   ,🤷🏻♀,0
47136,Thank you  now I can go to sleep and I will have sweet dreams ,🥺🔥,1
53339,Person on Hell’s Kitchen:Gordon: it’s so consistent Person on Hell’s Kitchen: Gordon: so consistently shitPerson on Hell’s Kitchen: ,😁,0
11913,$10 GIVEAWAY in 24 hrs! - follow me &amp; [USER] - RT +  on (post proof),💸🔔,1
5433,[USER] That’s rich coming from someone who’s obviously WRONG ,😑,1
24170,the comments on the virtual concert ,😂,1
10415,This reminds me of that one girl who kept sending selfies (every day) to my man for validation.......... I went crazy but Ok I’m the crazy girlfriend I guess ,🙏,1
85898,Clowning all day ,👍,0
95485,i decided to go to a different location and of fucking course their system was down and couldn't take any orders ,🤝,0
35762,that’s my shit tho ‍️,🧍🏾♀,1
18679,PLS GIVE SOME TIME TO RT ,😙,1
3798,[USER] Done ,✅,1
83560,[USER] not only you ,🥵🥵🤪😍,0
68175,Come on people...! ,🥵,0
64377,[USER] Gutted to hear mate wishing you well in your next venture ,😍,0
87316,[USER] tbh procreate is such an amazing program and i rm i would use it for the majority of my art last year  and its literally not bad of a price either... i would vouch for it until idie,🙂,0
17677,"MOST IMPORTANT NEWS OF 2021 SO FAR DEMOCRATS: Trump orchestrates an insurrection against the United States, spawning a nationwide terror movement and an armed assault on the U.S. Capitol that causes 8 deaths, 140 injuries and 320 arrests REPUBLICANS: Biden trips on stairs",🟦🟥,1
33625,"goodnight loves, ben assigns the losers colours &amp; uses them every chance he gets. the emojis in their contact info, key rings with his house key attached, sheets on his guest bed. richie is yellow, stanley is purple, eddie is blue, bev is green, mike is pink &amp; bill is silver ",😌,1
88339,Yessssirrr bless up cuzzo ,😂,0
5936,[USER] [USER] Y’all make it happen ,💵,1
77808,I’ll walk to Mexico before I believe a bitch fell asleep at 10 pm ,😆,0
93844,Always love watching Mexico  vs USA  futbol games!,🥱,0
51680,[USER] Hello ,👁,1
79848,Time to sleep  goodnight everyone ,🧍🏾♀,0
94266,Hope this works...                                                                                     KANG DANIEL                X                                  AOMG                                                                        ,🦋🤡💞😬,0
52672,All these exercises no reduce the size of your head eyen Oga DG? ‍️,🤦♂,1
28483,"My social media won’t give you the answers you’re looking for, but keep looking. ",😘,1
63950,[USER] [USER] I’m crying Crowley omfg ,😽,0
43356,[USER] it is quite expensive. i really wanted to play it too ,😭,1
54797,when the 00 at aritzia is getting big on you &lt;&lt;&lt; omw to eat 3 cheeseburgers even though I have a shoot tomorrow ,💯,0
46502,The way that sleep just came over me ‍️ fuck packing tonight. I’m going to bed.,🤦🏾♂,1
44453,"Let's take a closer look at some enemy designs from the recent Closed Beta Test!~ First up is ""Fuwan""!~It's rare to spot it from the back, so keep an eye out. The tentacles growing from it's machine-like body look like living beings! Kinda spooky I'd say... ",💫🐥✨😱,1
13596,[USER] It may be a bit warm ,🤔,1
6294," Gemini, Libra, Aquarius You guys are about to reconcile with someone from your past. This person is going to come in with some kind of truth. This is going to give you a lot of clarity. So much passion is coming for you guys. You could be having dreams about this, these",💌✨,1
13619,But I had kettle water in a tea cup instead. I only regret those two bran muffins from earlier. They seem to be expanding ,🤔,1
10521,I was called a twink / sub / bottom 3 times yesterday in vrc. I feel like I need to make my avatar a little bit bulkier ,😠,1
4732,Yea I realized around the same age or even younger when grown men were complaining to my mom and the pastor that my skirts were too provocative for them and I was causing them to “stumble”. Sexualizing a whole 12 year old pero predicando de santidad y pureza. ,🌚,1
9955,[USER] Most definitely  Just keep setting good intentions with whatever you’re doing fr fr!!,🙌🏽,1
69239,[USER] I'm trying to finish this first redraft by next week as I'm taking it off and want to come back to my writing with renewed enthusiasm. The clock's ticking is getting louder... ,😭,0
21739,"Oh yeah...I forgot...if you want me to ask PJ anything in particular, leave it below! ",🤙🏻,1
52919,aquarius                             geminiaccidentally fucking all their friends,🤝,1
62659,"[USER] [USER] Play 8 to 12 hours a day, everyday. Eventually you'll get thrown in a ""bot"" lobby. But if you think all his lobbies are not lobbies you seriously mistaken. ",😭,0
77395,10 GCASH follow me + [USER] rt + blossends fast! JOIN!! ‍️,🤩,0
33297,[USER] Much love ,🙏,1
66631,[USER] [USER] [USER] [USER] [USER] [USER] [USER] I- I‘m speechless ,🌃,0
53609,"[USER] Yeah, you’re not wrong there ",😁,0
54262,[USER] Beautiful  ,🤗,0
92988,OH FUCK YEAH I LOVE THIS,💘,0
29707,[USER] Wishing both you and Alma a restful night and a better day tomorrow ,🍀,1
99071,This plandemic can end right now if we ALL stop playing along with the sick and twisted game they play with our lives.,👀,0
76969,i swear the word “karl” randomly trends every other day without him doing anything ‍️,❤😃,0
30489,[USER] yellow white ,🤝,1
70306,[USER] Nany and [USER]  Do you ship them too??   The whole TL is obsessed with that other drama and I'm over here flailing on my own about a demon and his nerd that I've never even met in canon.  ,🤔,0
1937,[USER] Stop me when you see a lie ,🤣,1
68058,"[USER] [USER] Of all the games I went to at Wembley, we won all of them. Maybe I should go ",🤷♀,0
44806,[USER] Hello and THANK YOU!! ,😍,1
93753,Not my level,💗,0
90360,the only thing I can do well past midnight is disassociate ,😄,0
66222,Know i zoomed in on the glasses ,🤯,0
15767,do i regret posting for honk selfie day? yes  pls don’t perceive me,👍,1
37267,why is it always me that finds hair in their food  does god want me to starve,🥲,1
34846,[USER] [USER] Awesome  m jealous haha,😀,1
6325,"anyways, all the best!!! ",✨,1
43625,Follow everyone who likes and retweets this ,🥚,1
36255,[USER] Oh can we play together?! ,🥺,1
89249,the 1st pic ,🏏🙇,0
14807,500 RTs and Follow ‍️,🤷🏼♂,1
39222,[USER] I'm happy to hear that Flynn!! ,💙,1
67113,[USER] Happy birthday again! ,😞,0
69149,[USER] I learned how to be quiet and stopped drinking too much espresso ‍️,😂😂😂😂,0
78282,[USER] [USER] thank you!! ,©,0
42062,And me being an EXO/RV/Sejeong stan... I don’t know what to do on the 29th. I’ll peobably console myself with Sejeong’s music ,😭,1
92329,"Today was ab day, can’t wait to see how I feel in the morning ",🤗,0
71990,[USER] this was us ,✨✨✨,0
86385,[USER] My @ is amazing eh? ,🤧,0
50400,It’s just some seeing a female in a ️ sun dress that I love ,☀🥰,1
1547,"[USER] Oh wow! It gapped down ran and then fell off a cliff last 3 hours! Hope your puts printed, brother ",👍🏻,1
17399,[USER] [USER] Thank you ,🙏🏾,1
76701,[USER] I don’t crack. That’s forever ,😅,0
87357,[USER] henlo beautiful ,💜🙏,0
81582,Sometimes studying has me wanting to jump off a bridge ,👍💜,0
100064,Greetings. You are at the origin of Pho-land. Your local cuisine dish will be   White coffee no ice.  I challenge you to eat this dish with a butter knife. And without closing your mouth.,🤨,0
4365,I think it’s called being normal ,🥲,1
60128,"[USER] Imma need you to (For science) to pull their birth chart and your too and look at the mars sign. That’s ACTUALLY the sign you fuckin. Libra mars just reflect your desires. They pretty boring. Now an Aries, Taurus, Leo, Virgo, Scorpio, Capricorn mars  they hit it. ",🥵,0
91641,[USER] ooh wow shock ,😅🤍,0
18932, Want subs overnight?   Retweet this then drop your links!   I'll retweet everyone who retweets ,💰💰🖇🖇💥💥,1
52990,Debating if I should go back to the gym or just keep hiking  Here’s the catch if I go back to the gym that’ll leave less funds for shopping and eating out  should I just do it,😆🤔,1
48552,[USER] last time I check he's mine ,🧐,1
74793,Girl lemme take care of you  lemme be your forever ,🤷🏻♂,0
2653,️ wts lfb ph twice nayeon momo jihyo dahyun chaeyoung tzuyu eyes wide open more and more ewo photocards message card lyric poster postcard,🏷,1
22443,[USER] Holy shit I would do that to people too  sometimes they really do realize right then and there to get the FUCK outta your business,😭,1
70088,Watching this made me so horny that I almost had an orgasm without touching myself .... OMFGGGG ,😜,0
92120,U in dat second pic like “:/ I guess”,🤧😭,0
102622,[USER] ....no its too cursed and u might get canceled ,🕯🕯🕯🕯🕯🕯🕯🕯🕯🕯,0
93264,Malagons elbow  he’s going to miss the rest of the season for sure ...,🥲,0
85874,She push the  out that dog at 1:08 ,🥰,0
72215,[USER] [USER] every king needs a throne  ,🐍,0
60421,[USER] Sounds like John Lewis really gave it to the Sheffield folk hard and fast ,😭,0
92192,Sex has been binary for 1.2 billion years. This won’t change anytime soon. ,🦄,0
26071,Why is it that I only come on Twitter when I’m pissed off about something ,😅,1
104584,It must b my lucky day because i woke up and amber had dinner ready. ,🙃💀👌,0
65391,Yes I would like the same character if they were hot. That's because that character would be hot. Is there a problem?,😆,0
70416,Bella Shmurda ruined his clean sheet with Davido but look at Wizkid coming to his rescue. Can’t wait  ,🤷♀,0
89984,You better believe if I had a big thang tsk  I would most definitely be swinging it back n forth.,🥺,0
98000,Need CSM to get this treatment,🥺,0
4327,A necessity some times ,😂,1
36989,"[USER] [USER] [USER] [USER] Coaches voting is the problem Coaches polls always suck, no matter the division. They have  business voting. But who is? My opinion",👎,1
89938,[USER] its because im right ,🤦🏾♂,0
105024,[USER] Prob cause they know Syd personally. Das a random ass white woman being messy at 11 sumn at night ‍️ and folks always trying A’ja when she does nothing to anyone,👀,0
43877,[USER] [USER] She should've say the Safe Word ‍️,🤷♂,1
46348,[USER]  I feel this. I hope your day is good otherwise ,🫂✨,1
17447,"[USER] [USER]  [USER] [USER]  looks like USA got ""biatch slapped"" &amp; now Cda suffers thanks to ur complicity w/ Trump Huawei CFO scheme. Put Cda in the middle for what? Al/Fe tariffs, no Keystone xl, 'loaned' vaccines, buy America etc. ",😂,1
60669,A trip to Puerto Rico sounds so good right now ,😂,0
37778,i want to run away from my schoolworks ,🏃🏻,1
24575,[USER] Good news. 󠁧󠁢󠁷󠁬󠁳󠁿,🏴,1
58018,[USER] Girls without ass no fit do some ,🥺,0
58533,I want to have more 5sos moots but yall are larries ‍️,🤡,0
43019,[USER] Not announced yet  just “April” for now,👀,1
55619,[USER] great flick out the back scully  it happens to the best as well.,😉,0
89919,[USER] did the stimmy hit? ,🤔,0
62220,if anyone is looking for a mediocre loba main who steals all the loot in a 250m radius then im your boy (im not actually that mean i just want to get to apex predator rank someday),😭,0
8796,im nervous i feel like this is going to be the best album. even the release date is same as my world  i think i will cry bc can't believe time flies so fast that i love justin this much,😭,1
76944,I imagine a con lobby of people all too shy to see if they actually know someone behind the mask or not “Is that DragonBalls72? Ugh I can’t tell”,👀,0
52753,"my man has me right  got my hair dyed , pedicure on sat , nails on wednesday and my lash extensions on thursday",🥰,1
10731,‍️ I’ve typed out 5-6 tweets about the joke of a “weight room” provided along with this joke of a statement. I’ve come to the conclusion that none of them are appropriate for social media. Just be better.,🤦🏼♀,1
16941,"[USER] yeah like i read it when i was 12-13 and it wronged my vision of wlw relationships so much  it's just blatant sexualisation and incest, how is that a good rep",💀,1
15712,i’m back :) &amp; all the gcs im in are dying ,😳,1
20495, $10 in 1 hour! Just Retweet This &amp; My Pin  Good luck,💰📌,1
52153,[USER] my grandma was 4 years older than you and she was an ami too ,💜,1
62059,"Closing in on 60K followers  Thanks!To the young, aspiring paypigs out there: the key to longevity is to have short-term AND long-term findom goals. Don't just budget $100 for Her next tribute; budget another $100 towards Her tuition or new car and commit to Her future needs.",😂,0
36048,Guac’s not so bad when u lit af lol  ,🔥🥑,1
56514,she upset she throwing subs at me ,🤫,0
32349,[USER] How many doses went to citizens? ,🤔,1
50740,[USER] [USER] Wonder if he will be in the squad for the Euro games in Glasgow ,🤔,1
26669,All Grambling men faithful and wholesome kings ,🙏🏾,1
14214,Lmao! These niggas are guarding Dame with their lives today ,💀,1
24902,[USER] Without any  doubt ,👌,1
66050,I’m neutral here to bash n laugh at men always and some women sometimes ,🤍,0
4216,[USER] hybe labels  also bighit ent changed to bighit music,😭,1
48241,[USER] Nah I got JGod on YouTube for that  man knows his shit,😂,1
48760,₱80 gcash giveaway - follow me + [USER]- rt and like their  - rt + reply,📌,1
35659,[USER] Bucks ,😂,1
30646,[USER] I don’t even have a Bf ‍️ ,🧍🏻♀🙃,1
81728,Jungwoo 2nd player SOLD ,♥💐🎁,0
81339,[USER] i just became used to it  lmao eat your meal babyyy hv fun todayyy,😘,0
84839,[USER] thank you I am very proud of my eggs ,😭,0
13155,[USER] D is short for dreamer. Not for Donald.  I don’t know what I’m talking about.,🥴,1
63812,It's the type of work and quantity of workers in higher ed spaces for me ,💜,0
17500,"People make promises, and then they end up blocking you without any heads up  This is exactly why I don’t trust people...",😂,1
82272,[USER] That awesome! Can’t wait to see it ,😅,0
5001,[USER] Anything for my wife  you know we’re married right? ,💕🥺,1
13883,"Id card jaemin Mini brochure wayv Bookmark Winwin, Lucas ID Photo Xiaojun ID Photo Jaemin ",❌❌❌❌❌,1
88825,[USER] no buts ,😩,0
58434,"[USER] [USER] Les anciens Young Leader, se serrent les coudes  ",🥰,0
82575,[USER] [USER] Like folklore ,🥴,0
81986,Just talking to Tia bout this kill I was a mess,🤬,0
69195,sooo now you’re all active USE  YOUR  PLATFORM  FOR  PERVIS  PAYNE,🤢,0
95798,POOOOOTANGINAAAAAA BAT VIRTUAL GRADUATIOOOOOON ,🥺,0
49830,[USER] He is beautiful! I wish someone would look at me like that! ,😢,1
1966,[USER] [USER] We’d be giving Arkansas a bad name if we never went to the dentist. ,🤣,1
86454,never mind ,🤷🏻♂,0
5606,"In case you missed it, we are accepting donation for Youtube ads again until tomorrow! Please consider to donate if you have extra money because we desperately need more funds to get the MV more views Fighting MOODZ!",😭💪🏻,1
36011,[USER] [USER] 100k Soon ,🤟,1
3271,[USER] sorry ,😞,1
17909,"|| if at some point I made her into another muse of mine, would ya’ll give her some love? ",🌙🤔,1
83375,"[USER] Shimomura can’t go wrong, can she? ",💓,0
99117,fool's gold                   act my age                             Niall Horan ft. one direction,😭,0
93623,[USER] [USER] Thank you to whoever did this.  They deserve to be seen and remembered.  ,🥺😭💗,0
24178,[USER] [USER] Nah I don’t think everything pedo but midgets look like kids. There’s no convincing me they have sex appeal  idc,😂,1
22565,[USER] [USER] Welcome ,🤗,1
32870,[USER] My previous tweet ,😁,1
3294,"ryujin  hyewon""i like it like it this i like it like it that""",🤝,1
5657,main party reach level 80! while wait for ar 50 let's farm mats for ascend and mora currently on ar 45 now,💸,1
5569,[USER] I am!!! I’m due July 20th and it’s a boy ,💙,1
2138,It’s Thursday! Hello to all! If you see this please SAY HI  It will make my day! Either way follow me because i love you ️,👋😘❤,1
95555,[USER] sorry but I need someone to be as sad as me ,🥲🥲😅,0
81112,We are happy for them! Maybe she’s making her way to Ottawa and we have not been privy to say!? Only time will tell. LOL,😌,0
37969,[USER] Mansionz 2 thooooo... when?! ,😩,1
91577,[USER] trueee ,🤎,0
56319,[USER] bitches ain't shit and they ain't say nothing (yet they still saying shit omg) ,😂😂,0
86249,Not me thinking about having a photo shoot with Mizuki ,🤣,0
15915,"Folks love giving me “space” that I don’t need. It actually makes it worse cause I overthink everything. Making me sad and shit for a couple weeks tryna gauge my feelings through my Twitter. Nigga, if you don’t pick up the phone and call me. ",😂,1
95030,[USER] i’m w you in spirit ,🙏🏻,0
56734,"$50 GIVEAWAY I'll give $50 to one person. Must retweet this tweet, follow [USER] &amp; myself and retweet their pinnedEnds in 24 hours ",😄,0
4341,My sister received a scholarship to UA  she got one to UNA too. I’m so proud,😭,1
71763,"[USER] I confess I agreed with them on Downton (you know I wasn’t a big fan) but yes, P&amp;P is kind of sacred!! ",😍,0
6516,"FREE THEM PLS, also they're using mago choreo for hybe japan so ",👀,1
24128,[USER] Awfully Great ,🤡,1
33643,[USER] hi  have a nice day!,🤗,1
96033,"[USER] Megan Rapinoe’s job isn’t playing soccer. It’s generating revenue. She generates revenue by playing soccer. She doesn’t generate NEARLY as much as men, therefore she isn’t doing same job.Also men &amp; women are different &amp; she’s not good enough play on men’s team. ‍️",😟,0
2435,[USER] Is this an invitation to drop some? Causeeee ,👀,1
103360,"[USER] In the early 2000s you could live as an undergrad/postgrad by working sorta hard but without the backing of generational wealth and be fairly comfy and contribute to non-commercial communities but I guess that’s done, which is ",🧍♂,0
29038,"soooo ready, I’ve been out the game long enough ",😩,1
5953,How will 5G and AI continue to make the  smarter for us all? Follow Huawei for new ideas! ,🌍💡,1
34813,[USER] whats up with y'all tonight ,🤔,1
84000,We take all your feedback seriously when coming up with new ideas! ,👇🏽,0
53588,[USER] This will really help me in my life thanks ,👀,0
61800,"Being celibate and reserving isn’t my problem, it’s the fact that I’m at the age where I could and should be having sex regularly and I’m still not ",🥺,0
69934,might delete this in a bit but i just needed to get it off my chest ,💙,0
54528,[USER] Love the open brickwork ,😟,0
7299,[USER] One Ok Rock ,🤘🏻,1
88486,[USER] You sweet sick bastards ,🤣,0
98599,[USER] [USER] ohh!!! Looking good ,🙋🏻♂,0
35979,jack no hawaii ,🕯🕯,1
28812,Lmaoooo somebody on IG said “unhand her” ,💀,1
196,[USER] you dont talk with me ,😔,1
75082,[USER] asking for a friend ,👅,0
62614,Coming from insanity is a crazy movie ,🤣,0
94982,I had also asked if she was still friends with anyone from the show and she said she’s still in contact with her roommates from the show! And then asked if I knew Handong from Dreamcatcher and that she still talks to her! 2/2,🥲,0
91049,[USER] goodluck ,🥰,0
49746,[USER] What a view. ,🤤,1
98263,[USER] sorry  i  unfollowed  i  didn’t  realise  it  was  you  ,❤🍇,0
97247,[USER] how do u classify something that’s not even a genre  how do all people not on a record label happen to sound similar i’m not buying it,😂,0
38771,"Ok, so I’ve only heard of 13 artists/bands in this years lineup... does this mean I’m officially old and uncool? ‍️ sad times...",🤷🏼♀,1
94457, hand it hea .. put it in the bag,🤧,0
74598,Big things in his future,🥺,0
97190,Not y’all getting features for your walking tiktoks ,🥺,0
30675,[USER] Haha man I've learned you can't let stuff get to you. People have stuff going on around them that might affect them. Hope you are having a better day! My twitch is open to everyone as long as they are nice to others around them  I can take the heat some can't tho,❤,1
4273,[USER] The artist gone use font size 52 ,😭,1
65192,"if we’re having a conversation about anything controversial, the second you say “i feel...” i automatically stop listening ‍️",✌🏼,0
77243,[USER] Will be hell lmao but will probably sleep straight though it ,😍,0
23063,I have 0 friends on this app ‍️‍️,🥺😒😔🚶🏻♂🚶🏻♂,1
23960,a whole cheat code ,🔥,1
53628,[USER] I know so many that live and breathe it. I love for Food and Wine and my annual Hanson concert ,🥳♥♥♥,0
84054,EaJParkOfficial is nowhere to be found anymore ,😅,0
91837,Spring break needs to be for like a month I’m tired of picking up my sons from school ,🗑,0
103839,MS.DONKEY KONG GOT SOME NERVE ,😤,0
625,[USER] Guess what??? He went over!!! Send me your cash app and celebrate with me ,🤑,1
8820,"it's very displeasing especially when big acct on other platforms does it, they copy the captions too, please don't do it from next time ",😭,1
65134,[USER] Why all these folk wanna fight at airports smh ‍️,😭,0
105420,WHO DID THIS- THIS IS SO CUTE,🇵🇭🇵🇭🇵🇭🇵🇭💕,0
25868,They don’t support you until it’s cool too ‍️,🚶🏾♂,1
82221,CHECK YOUR GARDEN THERE BE SOME SNAKES IN THE GRASS ,😃,0
79688,[USER] People will do anything to stay relevant he said that because he want so attention I get it tho but this wasn’t his saying and it’s just a damn word ‍️,😢,0
56041,Asked a man to send me a picture of him in grey sweats. That fucken whore ,🎄,0
10738,"""aiming on mobile is hard""yea thats cuz u dont use ganyu ",😕,1
35790,Straight baller . Gives a  every snap!,🏈💯,1
97191,Okay let me finish grading and doing this data analysis ,🖕,0
89269,A month of appalling behaviour and failed leadership.But this liberal blokes response is to praise and suck up to Scott Morrison.WTF is wrong with these people? ‍️ ‍️ ,🔥,0
100803,&amp; i know you see me watching ,🤣,0
10329,"[USER] [USER] Ok. I listened. But honestly, it was just not the same. I’m on twitter and sub to your podcast for AusPol only. After expressing disdain to the recent article PVO blocked me. It signals that he doesn’t want to participate in robust convo, just hang out in an echo chamber ‍️",🤷🏽♀,1
62513,[USER] I love Tribeca!  I’m gonna head to Saks this week! ,🕯🕯🕯🕯🕯🕯🕯🕯🕯🕯,0
105594,This thread got me weak  I can’t breathe,🤣,0
16078,NEVER NOT BY LAUV PLAYING WHILE READING THESE ,😭,1
9018,[USER] eh??ur name plis?? ,😁,1
102596,[USER] Good morning sayo bestie  lablab ,😘,0
45641,[USER] Baking a cake doesn’t qualify as a war. ,🙄,1
38230,[USER] The traitorous house on the block... they need to take that trash down. It's lowering property values in the neighborhood. Lol. ,😐😑😐😄,1
28933,[USER] hmmmm is just unfortunate the system works for other and also destroys others we all know the truth so let’s not pretend and what took him so long for saying it ‍️,🤷🏿♂,1
101671,Good night ,💕,0
93319,LETS GOO BB,💜,0
6508,[USER] thank u bae ,😘,1
8318,Buying myself another pair of ugg slides cuz I deserve it ,🥰,1
81079,[USER] It's only temporary ,💌✨✨💗🦖,0
